event_name,organizer,start_time,end_time,venue,full_address,city,registration_url,registration_status,registration_type,ticket_types,capacity,attendees_shown,event_format,description,extras,tags,image_url,source_domain,notes
Mount Elbert Climb,Ruben Wolff,,,Mount Elbert,,,https://lu.ma/f2objzva,,,,,,,,,,,lu.ma,
"The Games by Nillion, Scroll and Mensana Fitness","Mensana Fitness, Nillion and Scroll",,,CrossFit LoDo,,,https://lu.ma/ghhbt618,,,,,,,,,,,lu.ma,
"ONE OF US Powerlift // Aya, Cuids, Moonring, Shard, ForUAI & 071Labs","Aya, Cuids, Moonring, Shard, ForUAI and 071 Labs",,,ETHDenver,,,https://lu.ma/f78952is,,,,,,,,,,,lu.ma,
BV’s BuffiTank Pitchfest,illestrater,,,National Western Stock Show,,,https://lu.ma/gtih35n,,,,,,,,,,,lu.ma,
PEVECA Investors – Roundtable Breakfast Mixer,Next Block,,,Register to see address,,,https://lu.ma/tgbmjcu,,,,,,,,,,,lu.ma,
CEX Listing: Token Self-Scaling,LATOKEN,,,Register to see address,,,https://lu.ma/ece063bx,,,,,,,,,,,lu.ma,
The AI-Powered Data Economy Driving Longevity,Avinas Labs,,,Denver Art Museum,,,https://lu.ma/4n08hje9,,,,,,,,,,,lu.ma,
Not Your Ordinary Crypto Brunch @ ETH Denver w/ Halborn & Orbs,Halborn and Orbs,,,Register to see address,,,https://lu.ma/ethdenverbrunch,,,,,,,,,,,lu.ma,
Abstract Dinner,Everclear,,,Register to see address,,,https://lu.ma/abstractdenver,,,,,,,,,,,lu.ma,
VIDEO GAME PARTY by funny.money,Funny Money,,,Register to see address,,,https://lu.ma/5wv7czq9,,,,,,,,,,,lu.ma,
Winter Blunt Olympics: Race across Mount Kushmore,BluntDAO,,,Register to see address,,,https://lu.ma/5y5vo4nf,,,,,,,,,,,lu.ma,
DeFi Dialogs,Leveraged Tokenized Vaults,,,Register to see address,,,https://lu.ma/ydvnbwbi,,,,,,,,,,,lu.ma,
Agile GTM PITCH STATION @ ETHDenver,Agile GTM Capital,,,Register to see address,,,https://lu.ma/qetw8921,,,,,,,,,,,lu.ma,
The Big Blockspace BBQ Cookout,WebZero + Polkadot,,,2345 7th St,"2345 7th St, Denver, CO 80211, USA","Denver, CO",https://lu.ma/bbqcookout,approval_required,wallet_verification,,,115.0,,BBQ closing celebration for Blockspace Mansion hackerhouse with food and mulled wine.,"{""food"",""drinks""}","{""networking"",""food"",""polkadot""}",,lu.ma,
Last Call: Hopper DEX Closing Mansion Party,Crypto Fridays,,,Register to see address,,,https://lu.ma/7c1k9y4,,,,,,,,,,,lu.ma,
ETHDenver Afterhours: BBQ & Chill,Normal Finance and 20 World,,,Register to see address,,,https://lu.ma/q11snua4,,,,,,,,,,,lu.ma,
Girls in Governance | Dinner | ETHDenver 2025,"blockful, Danko (Balancen), and Fede (Mode)",,,Register to see address,,,https://lu.ma/gkfr8av6,,,,,,,,,,,lu.ma,
Fireside Network Societies (Night 5),Union X City,,,Register to see address,,,https://lu.ma/zi7oooh,,,,,,,,,,,lu.ma,
THE RARE SKI RETREAT,Vinith.N,,,Denver,,,https://lu.ma/jkflxixm,,,,,,,,,,,lu.ma,
Sending Flowers by Soulmates @ Zerion House,Soulmates,,,The Banshee House,,,https://lu.ma/di0pyyx,,,,,,,,,,,lu.ma,
House of Ink: ETHDenver,Ink,,,Denver,,,https://lu.ma/kvjl82q,,,,,,,,,,,lu.ma,
Sozu Haus Denver 2025,"Virtuals, Eliza, Mantle, Story, Kaito, Cookie, Virtue",,,Denver,,,https://lu.ma/qx54h73e,,,,,,,,,,,lu.ma,
vlayer x ETH Denver Hacker House,vlayer Labs,,,4745 Carr St,"Wheat Ridge, CO (exact address after registration)","Wheat Ridge, CO",https://lu.ma/vlayerxethdenver,past_event,wallet_verification,,,,,"Hacker house with workshops, $5k bounty, talks (RiscZero, zkSync, BOB), co-working and cocktails.","{""workshops"",""bounty"",""talks"",""coworking""}","{""zk"",""builders"",""hackerhouse""}",,lu.ma,
Hadron Ski House Denver,"Arpit, Hadron Founders Club and Ashwin",,,Breckenridge,,,https://lu.ma/e7mccpf1,,,,,,,,,,,lu.ma,
Nova Denver Free Consulting & Coworking,Nova Strategy,,,Colorado,,,https://lu.ma/ds2jm6jv,,,,,,,,,,,lu.ma,
